No,year,month,truth_rate,ARIMA_pred,LSTM_pred
1,2006,1,5.2775,3.921,4.5800 
2,2006,2,5.0269,5.0849,4.9923 
3,2006,3,5.8394,5.5634,5.2257 
4,2006,4,5.9049,5.778,5.8084 
5,2006,5,5.5982,5.7463,5.4836 
6,2006,6,5.0339,5.4916,5.0261 
7,2006,7,4.6172,5.0801,4.8720 
8,2006,8,4.6874,4.6486,4.4062 
9,2006,9,4.0412,4.3677,4.1216 
10,2006,10,4.1185,3.9945,3.8312 
11,2006,11,3.4301,3.6183,3.6145 
12,2006,12,1.9668,2.9875,4.1498 
13,2007,1,6.0377,3.8244,4.4730 
14,2007,2,5.0838,5.0948,5.0100 
15,2007,3,5.819,5.6343,5.6715 
16,2007,4,5.798,5.7631,5.7588 
17,2007,5,5.812,5.6164,5.7927 
18,2007,6,5.4118,5.3594,5.2259 
19,2007,7,5.0279,5.0384,4.9477 
20,2007,8,4.551,4.7228,4.6880 
21,2007,9,3.9483,4.4093,4.3496 
22,2007,10,3.8739,4.0226,4.0001 
23,2007,11,3.3527,3.6158,3.7033 
24,2007,12,1.8776,3.0157,4.3722 
25,2008,1,6.6304,3.9016,4.9253 
26,2008,2,5.9305,5.2853,5.6144 
27,2008,3,5.9235,6.0269,6.7054 
28,2008,4,6.3105,6.1084,6.3601 
29,2008,5,5.9374,5.9381,5.9586 
30,2008,6,5.5504,5.5832,5.4978 
31,2008,7,5.3534,5.1737,4.9031 
32,2008,8,4.7995,4.8609,4.7673 
33,2008,9,4.1414,4.5822,4.5567 
34,2008,10,4.2688,4.2403,4.2278 
35,2008,11,3.5805,3.9267,4.4326 
36,2008,12,1.7497,3.3795,4.6000 
37,2009,1,5.2615,4.2119,4.9254 
38,2009,2,5.061,5.1945,5.4176 
39,2009,3,6.2635,5.6746,5.6290 
40,2009,4,5.9572,5.8806,5.7694 
41,2009,5,5.3421,5.7368,5.3429 
42,2009,6,5.0012,5.2984,4.9939 
43,2009,7,4.8698,4.8134,4.6810 
44,2009,8,4.6464,4.4598,4.6459 
45,2009,9,4.2709,4.232,4.2102 
46,2009,10,4.3838,4.0158,3.9437 
47,2009,11,4.112,3.8032,4.1987 
48,2009,12,3.4255,3.4124,4.4936 
49,2010,1,5.0171,4.6318,5.0889 
50,2010,2,4.6857,5.528,5.5158 
51,2010,3,5.6251,5.773,6.1829 
52,2010,4,5.7486,5.7387,6.2202 
53,2010,5,5.6457,5.5264,5.7828 
54,2010,6,5.3669,5.2197,5.5448 
55,2010,7,5.1177,4.9118,5.1028 
56,2010,8,4.8389,4.6761,4.7412 
57,2010,9,4.5074,4.5023,4.7402 
58,2010,10,4.4663,4.3059,4.3998 
59,2010,11,4.2971,4.0451,4.3437 
60,2010,12,4.016,3.6016,4.9514 
61,2011,1,6.313,4.8592,5.7697 
62,2011,2,5.9868,5.9567,6.1061 
63,2011,3,6.621,6.4091,6.3886 
64,2011,4,6.2149,6.4676,6.0976 
65,2011,5,6.1533,6.199,5.9693 
66,2011,6,5.7426,5.8391,5.6393 
67,2011,7,5.5715,5.4896,5.4738 
68,2011,8,5.8978,5.2524,5.0857 
69,2011,9,5.4095,5.2243,5.0064 
70,2011,10,5.5076,5.1432,4.7248 
71,2011,11,4.9966,4.967,4.9332 
72,2011,12,4.3463,4.4928,5.1857 
73,2012,1,14.7141,5.5958,5.6151 
74,2012,2,7.2454,8.2328,6.7312 
75,2012,3,7.4163,8.8585,6.9167 
76,2012,4,7.1246,8.4079,6.2351 
77,2012,5,7.1907,7.7241,5.9791 
78,2012,6,5.7325,7.1376,5.7687 
79,2012,7,5.2859,6.4841,5.3118 
80,2012,8,5.2039,5.9702,5.0243 
81,2012,9,4.7665,5.6999,4.7302 
82,2012,10,4.9692,5.4684,4.4808 
83,2012,11,4.3677,5.2139,4.7025 
84,2012,12,3.7753,4.6387,4.8771 
85,2013,1,5.4647,5.6083,5.4777 
86,2013,2,4.8929,6.2421,5.6082 
87,2013,3,5.4123,6.1963,5.5181 
88,2013,4,5.4556,5.8265,5.6772 
89,2013,5,5.4077,5.3639,5.5184 
90,2013,6,5.1093,4.9682,5.1163 
91,2013,7,5.0706,4.7055,5.0020 
92,2013,8,5.0273,4.6443,5.0213 
93,2013,9,4.6651,4.7224,4.7281 
94,2013,10,4.9795,4.7263,4.4906 
95,2013,11,4.41,4.6302,4.5365 
96,2013,12,3.7426,4.1545,4.8263 
97,2014,1,5.6798,5.1709,5.3522 
98,2014,2,5.4612,5.8931,5.4706 
99,2014,3,5.8848,6.0325,5.6297 
100,2014,4,5.6046,5.8406,5.4521 
101,2014,5,5.1514,5.4688,5.1186 
102,2014,6,4.7461,5.0558,4.9245 
103,2014,7,4.7142,4.74,4.6428 
104,2014,8,4.3316,4.6313,4.6139 
105,2014,9,3.9786,4.5911,4.4845 
106,2014,10,4.0014,4.464,4.0718 
107,2014,11,3.7691,4.1872,4.0167 
108,2014,12,3.6711,3.6101,4.2241 
109,2015,1,4.8676,4.6854,4.8443 
110,2015,2,4.2173,5.3388,5.3310 
111,2015,3,5.3172,5.2946,5.0595 
112,2015,4,5.2693,5.0917,4.7117 
113,2015,5,5.0502,4.8314,4.4147 
114,2015,6,4.7284,4.5861,4.4890 
115,2015,7,4.466,4.4335,4.4509 
116,2015,8,4.2812,4.3942,4.2862 
117,2015,9,4.0164,4.4102,4.0643 
118,2015,10,4.1853,4.3332,3.9463 
119,2015,11,3.8521,4.109,3.7678 
120,2015,12,3.5806,3.5458,3.5805 
121,2016,1,4.6071,4.5838,4.1353 
122,2016,2,4.6345,5.165,4.8636 
123,2016,3,5.1553,5.3281,4.9733 
124,2016,4,4.9246,5.1948,4.7596 
125,2016,5,4.5089,4.9206,4.5340 
126,2016,6,4.3764,4.6544,4.3199 
127,2016,7,4.1457,4.4976,4.2964 
128,2016,8,4.1846,4.4765,4.1569 
129,2016,9,3.8899,4.5348,4.1630 
130,2016,10,3.8739,4.5494,3.5846 
131,2016,11,4.0475,4.3641,3.3896 
132,2016,12,3.0996,3.8322,3.8141 
133,2017,1,4.6143,4.8403,4.3307 
134,2017,2,4.7562,5.3845,4.6916 
135,2017,3,5.1225,5.5261,5.5199 
136,2017,4,4.9416,5.3917,5.3060 
137,2017,5,5.0492,5.138,5.0914 
138,2017,6,4.3236,4.9092,4.4003 
139,2017,7,4.4312,4.7974,4.2914 
140,2017,8,4.5068,4.8175,4.3151 
141,2017,9,3.9437,4.903,4.4821 
142,2017,10,4.4266,4.9241,3.9437 
143,2017,11,4.2962,4.7239,3.8713 
144,2017,12,3.7789,4.1607,4.3321 
