Year,Month,Local budget revenue (cumulative growth %)
2005,1,43.6
2005,2,49.3
2005,3,27.8
2005,4,22.9
2005,5,23.3
2005,6,22.3
2005,7,22.2
2005,8,22.2
2005,9,28.4
2005,10,26.8
2005,11,27.1
2005,12,22.7
2006,1,7.2
2006,2,14.8
2006,3,22.2
2006,4,22.4
2006,5,15.8
2006,6,18
2006,7,18.1
2006,8,18.1
2006,9,20.1
2006,10,21.1
2006,11,20.8
2006,12,21
2007,1,26.2
2007,2,34.7
2007,3,32.3
2007,4,33.5
2007,5,35.4
2007,6,36.1
2007,7,36.1
2007,8,36.5
2007,9,37.4
2007,10,37.5
2007,11,37.4
2007,12,32.3
2008,1,51.7
2008,2,39.7
2008,3,36.99
2008,4,34.3
2008,5,33.6
2008,6,32.8
2008,7,30.6
2008,8,29.1
2008,9,29.3
2008,10,27.1
2008,11,25.6
2008,12,25.2
2009,1,4.5
2009,2,8.1
2009,3,9.4
2009,4,8.3
2009,5,9.8
2009,6,13.8
2009,7,12.8
2009,8,13.9
2009,9,12.7
2009,10,12.2
2009,11,13.4
2009,12,17.3
2010,1,25.6
2010,2,26.4
2010,3,26.4
2010,4,33
2010,5,32
2010,6,32
2010,7,31.2
2010,8,30.1
2010,9,29.9
2010,10,30
2010,11,29.5
2010,12,26
2011,1,38.5
2011,2,38.1
2011,3,40.1
2011,4,36.1
2011,5,37.9
2011,6,37
2011,7,35.8
2011,8,34.7
2011,9,33.4
2011,10,33.1
2011,11,31.8
2011,12,31.7
2012,1,15.5
2012,2,19.2
2012,3,23.8
2012,4,22.3
2012,5,21.1
2012,6,21.4
2012,7,19.9
2012,8,19.7
2012,9,22.8
2012,10,21.6
2012,11,19.8
2012,12,17.4
2013,1,9.7
2013,2,7
2013,3,10.4
2013,4,6.9
2013,5,5.2
2013,6,5.7
2013,7,6.5
2013,8,7
2013,9,7.8
2013,10,9
2013,11,10.7
2013,12,
2014,1,4.8
2014,2,8.4
2014,3,9.3
2014,4,9.2
2014,5,8.4
2014,6,6.3
2014,7,4.3
2014,8,2.4
2014,9,-3.2
2014,10,-5.8
2014,11,-6.8
2014,12,
2015,1,-13.4
2015,2,-17.9
2015,3,-32.7
2015,4,-27
2015,5,-23.9
2015,6,-22.7
2015,7,-21.7
2015,8,-22.9
2015,9,-27.4
2015,10,-31.2
2015,11,-31.7
2015,12,
2016,1,
2016,2,-11.26
2016,3,-12.55
2016,4,-6.84
2016,5,-8.99
2016,6,-18.04
2016,7,-16.58
2016,8,-13.92
2016,9,-13.92
2016,10,0.87
2016,11,2.56
2016,12,
2017,1,19.72
2017,2,16.08
2017,3,13.53
2017,4,9.54
2017,5,9.27
2017,6,8.57
2017,7,9.43
2017,8,9.55
2017,9,10.76
2017,10,10.41
2017,11,10.28
2017,12,
