Year,Month,Total value of imports and exports to and from do mestic destinations/sources (thousands of U
2005,1,3160980
2005,2,2959660
2005,3,4583577
2005,4,4464550
2005,5,3772627
2005,6,4197710
2005,7,4129866
2005,8,4101492
2005,9,3995620
2005,10,3473782
2005,11,3795022
2005,12,4418001
2006,1,3286785
2006,2,2925048
2006,3,4327488
2006,4,4285696
2006,5,4447897
2006,6,4503581
2006,7,4640259
2006,8,4614801
2006,9,5078361
2006,10,4172665
2006,11,4955237
2006,12,5186632
2007,1,4482993
2007,2,4449278
2007,3,4423311
2007,4,5465298
2007,5,5502839
2007,6,5414922
2007,7,6141220
2007,8,5944090
2007,9,5335076
2007,10,5524662
2007,11,6117827
2007,12,6336637
2008,1,6137086
2008,2,5055134
2008,3,6722704
2008,4,6464130
2008,5,6403167
2008,6,7346104
2008,7,7826399
2008,8,9107958
2008,9,8412677
2008,10,6962336
2008,11,6404976
2008,12,5480035
2009,1,4470131
2009,2,4008011
2009,3,4426228
2009,4,4644273
2009,5,4911716
2009,6,6070899
2009,7,6111371
2009,8,5811281
2009,9,7530516
2009,10,5436224
2009,11,7455138
2009,12,8794170
2010,1,7845552
2010,2,6902427
2010,3,7548242
2010,4,7985522
2010,5,7580033
2010,6,8016760
2010,7,7991058
2010,8,8175012
2010,9,8485112
2010,10,7171133
2010,11,8589107
2010,12,8826127
2011,1,9568223
2011,2,6538480
2011,3,9957292
2011,4,9152210
2011,5,9062397
2011,6,9551101
2011,7,10082400
2011,8,9956308
2011,9,9664001
2011,10,9742011
2011,11,11002663
2011,12,8592910
2012,1,9980368
2012,2,9881561
2012,3,10540522
2012,4,9670141
2012,5,9634796
2012,6,9831785
2012,7,10153749
2012,8,9370820
2012,9,8798489
2012,10,9020740
2012,11,10548424
2012,12,10420747
2013,1,10706217
2013,2,8367101
2013,3,10493774
2013,4,10178549
2013,5,10621125
2013,6,9004135
2013,7,9795764
2013,8,10134811
2013,9,9959765
2013,10,9304366
2013,11,11735899
2013,12,10353339
2014,1,12446142
2014,2,8044592
2014,3,10003471
2014,4,9558144
2014,5,11471482
2014,6,10303009
2014,7,9709417
2014,8,12116052
2014,9,10849961
2014,10,9915810
2014,11,9928712
2014,12,10773982
2015,1,9440943
2015,2,7503008
2015,3,8849024
2015,4,9489233
2015,5,8297601
2015,6,8869374
2015,7,9945066
2015,8,8227533
2015,9,9825931
2015,10,7654388
2015,11,9165207
2015,12,10151418
2016,1,7144725
2016,2,5930901
2016,3,7970648
2016,4,7896514
2016,5,8072195
2016,6,8372351
2016,7,8209061
2016,8,8216152
2016,9,9173536
2016,10,7216153
2016,11,8851141
2016,12,9358383
2017,1,9020375
2017,2,8222793
2017,3,9645315
2017,4,9060080
2017,5,9150558
2017,6,9111197
2017,7,9749796
2017,8,9311367
2017,9,9437483
2017,10,8351815
2017,11,10132668
2017,12,10593708
