Year,Month,Road passenger turnover
2005,1,161622
2005,2,183315
2005,3,163198
2005,4,173058
2005,5,181422
2005,6,168545
2005,7,168917
2005,8,179941
2005,9,177614
2005,10,188593
2005,11,174994
2005,12,
2006,1,193232
2006,2,191186
2006,3,190692
2006,4,194450
2006,5,217858
2006,6,194462
2006,7,205215
2006,8,210834
2006,9,199979
2006,10,209425
2006,11,190715
2006,12,
2007,1,198901
2007,2,211155
2007,3,191700
2007,4,201408
2007,5,226408
2007,6,222154
2007,7,230626
2007,8,238335
2007,9,234123
2007,10,242294
2007,11,230751
2007,12,
2008,1,227197
2008,2,249031
2008,3,228746
2008,4,234545
2008,5,248527
2008,6,232789
2008,7,259282
2008,8,269381
2008,9,266498
2008,10,278696
2008,11,258743
2008,12,
2009,1,243328
2009,2,255037
2009,3,266911
2009,4,258463
2009,5,290445
2009,6,
2009,7,
2009,8,
2009,9,
2009,10,
2009,11,
2009,12,
2010,1,
2010,2,
2010,3,
2010,4,307797
2010,5,316933
2010,6,347823
2010,7,322486
2010,8,323107
2010,9,332142
2010,10,357015
2010,11,319966
2010,12,
2011,1,309064
2011,2,317152
2011,3,355920
2011,4,313075
2011,5,350716
2011,6,388946
2011,7,336523
2011,8,338652
2011,9,342576
2011,10,358774
2011,11,290677
2011,12,
2012,1,335407
2012,2,333851
2012,3,378415
2012,4,343338
2012,5,369738
2012,6,408263
2012,7,358838
2012,8,370512
2012,9,373613
2012,10,380806
2012,11,316202
2012,12,
2013,1,347949
2013,2,351251
2013,3,390294
2013,4,352094
2013,5,393747
2013,6,429366
2013,7,371021
2013,8,387060
2013,9,390577
2013,10,397135
2013,11,329173
2013,12,
2014,1,262080
2014,2,290099
2014,3,281762
2014,4,291181
2014,5,323821
2014,6,332141
2014,7,345699
2014,8,374283
2014,9,356378
2014,10,338940
2014,11,280753
2014,12,
2015,1,267021
2015,2,296049
2015,3,288814
2015,4,296723
2015,5,329940
2015,6,337667
2015,7,351736
2015,8,379165
2015,9,371385
2015,10,347450
2015,11,288471
2015,12,
2016,1,212922
2016,2,235656
2016,3,230625
2016,4,237341
2016,5,265873
2016,6,271753
2016,7,281559
2016,8,302927
2016,9,296755
2016,10,277599
2016,11,229773
2016,12,224248
2017,1,209050
2017,2,230268
2017,3,224442
2017,4,231331
2017,5,260105
2017,6,264696
2017,7,273966
2017,8,295000
2017,9,289911
2017,10,270907
2017,11,223427
2017,12,215440
