Year,Month,Waterway passenger turnover
2005,1,
2005,2,6063
2005,3,5363
2005,4,5314
2005,5,7179
2005,6,5706
2005,7,9807
2005,8,9995
2005,9,7098
2005,10,6869
2005,11,7713
2005,12,
2006,1,6337
2006,2,7653
2006,3,5808
2006,4,5363
2006,5,7541
2006,6,7455
2006,7,10914
2006,8,11622
2006,9,9173
2006,10,7633
2006,11,6424
2006,12,
2007,1,4909
2007,2,6689
2007,3,7172
2007,4,6504
2007,5,8242
2007,6,6608
2007,7,9844
2007,8,11277
2007,9,6840
2007,10,6842
2007,11,4796
2007,12,
2008,1,4479
2008,2,6328
2008,3,5460
2008,4,5710
2008,5,5916
2008,6,5696
2008,7,8716
2008,8,10318
2008,9,8718
2008,10,6639
2008,11,5129
2008,12,
2009,1,5033
2009,2,5560
2009,3,4559
2009,4,4673
2009,5,4631
2009,6,
2009,7,
2009,8,
2009,9,
2009,10,
2009,11,
2009,12,
2010,1,
2010,2,
2010,3,
2010,4,4285
2010,5,4778
2010,6,4984
2010,7,8832
2010,8,9569
2010,9,8153
2010,10,4611
2010,11,2938
2010,12,
2011,1,3913
2011,2,5331
2011,3,4402
2011,4,4628
2011,5,5151
2011,6,5170
2011,7,9770
2011,8,10500
2011,9,9094
2011,10,5411
2011,11,3546
2011,12,
2012,1,5127
2012,2,4974
2012,3,4411
2012,4,5451
2012,5,5529
2012,6,5987
2012,7,10626
2012,8,10991
2012,9,9149
2012,10,5435
2012,11,3830
2012,12,
2013,1,3378
2013,2,4775
2013,3,3625
2013,4,4250
2013,5,4406
2013,6,5105
2013,7,8637
2013,8,11441
2013,9,8987
2013,10,5678
2013,11,3476
2013,12,
2014,1,3634
2014,2,4780
2014,3,3544
2014,4,4346
2014,5,4778
2014,6,4977
2014,7,8518
2014,8,11668
2014,9,7980
2014,10,5157
2014,11,3112
2014,12,
2015,1,3579
2015,2,4046
2015,3,3775
2015,4,3896
2015,5,4471
2015,6,4128
2015,7,7511
2015,8,10679
2015,9,6958
2015,10,4805
2015,11,2982
2015,12,
2016,1,3661
2016,2,4028
2016,3,3910
2016,4,4222
2016,5,3934
2016,6,4018
2016,7,7581
2016,8,11010
2016,9,7016
2016,10,5263
2016,11,2935
2016,12,2387
2017,1,3918
2017,2,4432
2017,3,3463
2017,4,3904
2017,5,3809
2017,6,3842
2017,7,7319
2017,8,12943
2017,9,6894
2017,10,5013
2017,11,2651
2017,12,2179
